CÓDIGO,DESCRIÇÃO
AL0520,FALHA COMUNICAÇÕES COM CVS
AL0812,FALHA COMUNICAÇÕES COM CENTRAL CCTV
AL0821,FALHA COMUNICAÇÕES CÂMERA RETRO 2
AL0821,FALHA COMUNICAÇÕES CÂMERA RETRO 1
AL0131,FALHA CIRCUITO LAÇO EMERGÊNCIA
AL0018,FALHA ATUAÇÃO DA EXTINÇÃO DESDE CMC 2
AL0017,FALHA ATUAÇÃO DA EXTINÇÃO DESDE CMC 1
AL1126,FALHA ABERTURA DESCONECTOR 1
AL1518,DISJUNTOR SISTEMA SIV/CFTV DESARMADO
AL1515,DISJUNTOR PORTAS DESARMADO
AL1520,DISJUNTOR LAÇOS DESARMADO
AL1510,DISJUNTOR ILUMINAÇÃO SALÃO DESARMADO
AL1511,DISJUNTOR ILUMINAÇÃO EXT DESARMADO
AL1506,DISJUNTOR EQUIP. FREIO DESARMADO
AL1524,DISJUNTOR CONV. AUXILIAR DESARMADO
AL1514,DISJUNTOR CCU/IHM DESARMADO
AL1507,DISJUNTOR CBTC DESARMADO
AL1519,DISJUNTOR AUXILIARES DESARMADO
AL1508,DISJUNTOR ATC DESARMADO
AL1539,DETECÇÃO DESACOPLAMENTO INTERMÉDIÁRIO
AL1104,DESCONEXÃO DO TREM EM 5 MINUTOS
AL1105,DESCONEXÃO DO TREM
AL1216,DESC: SISTEMA DESCARRILHAMENTO ISOLADO
AL0728,DCU: PORTA 8 ISOLADA MECANICAMENTE
AL0727,DCU: PORTA 7 ISOLADA MECANICAMENTE
AL0708,DCU: PORTA 7 DESTRAVADA
AL0726,DCU: PORTA 6 ISOLADA MECANICAMENTE
AL0725,DCU: PORTA 5 ISOLADA MECANICAMENTE
AL0724,DCU: PORTA 4 ISOLADA MECANICAMENTE
AL0723,DCU: PORTA 3 ISOLADA MECANICAMENTE
AL0707,DCU: PORTA 3 DESTRAVADA
AL0722,DCU: PORTA 2 ISOLADA MECANICAMENTE
AL0701,DCU: PORTA 1 ISOLADA MECANICAMENTE
AL0717,DCU: FALHA TEMPO DE FECHAMENTO EXCEDIDO
AL0720,DCU: FALHA NO TRAVAMENTO DA PORTA
AL0709,DCU: FALHA NA DCU
AL0702,DCU: FALHA LEVE NO CONTROLE DE PORTA
AL0700,DCU: FALHA GRAVE NO CONTROLE DE PORTA
AL0703,DCU: FALHA COMUNICAÇÕES COM PORTA
AL1535,Curva 2 selecionada
AL1536,Curva 1 selecionada
AL0518,CONVERSOR AUXILIAR ISOLADO
AL0519,CONVERSOR AUXILIAR ISOLADO
AL1307,COMP: FALHA NO PRESSOSTATO DE CONTROLE DO COMPRESSOR.
AL1301,COMP: FALHA CRÍTICA NO SISTEMA DE SUPRIMENTO DE AR COMPRIMIDO
AL1304,COMP: COMPRESSOR X ISOLADO
AL1109,COMANDO DESBLOQUEIO JANELAS
AL1131,CHAVE ISOLAMENTO COMPRESSOR ATIVADA
AL1540,CHAVE EV DE DESACOPLAMENTO ATUADA
AL0009,CHAVE DA TUBULAÇÃO EXTINÇÃO ATIVA
AL0191,CHAVE ATERRAMENTO ATIVA
AL1133,BYPASS LAÇO PORTAS ATIVADO
AL0907,BYPASS ID CONDUTOR ATIVO
AL1115,BYPASS BOTÃO SOCO ATIVO
AL0054,"BOTÃO EXTINÇÃO FOGO ATIVO,"
AL0053,"BOTÃO EXTINÇÃO FOGO ATIVO,"
AL0340,"BCU:FALHA NA MEDIÇÃO DE CARGA NO TRUQUE 2, VERIFICAR ESTADO DAS BOLSAS PNEMÁTICAS"
AL0339,"BCU:FALHA NA MEDIÇÃO DE CARGA NO TRUQUE 1, VERIFICAR ESTADO DAS BOLSAS PNEMÁTICAS"
AL0309,BCU: TRUQUE 2 ISOLADO
AL0308,BCU: TRUQUE 1 ISOLADO
AL0314,BCU: FREIO SERVIÇO  ISOLADO  POR VÁLVULA B25/2
AL0313,BCU: FREIO SERVIÇO  ISOLADO  POR VÁLVULA B25/1
AL0316,BCU: FALHA NO EQUIPAMENTO DE FREIO TRUQUE 2
AL0315,BCU: FALHA NO EQUIPAMENTO DE FREIO TRUQUE 1
AL0338,BCU: FALHA NA VÁLVULA DE EMERGÊNCIA TRUQUE 2
AL0337,BCU: FALHA NA VÁLVULA DE EMERGÊNCIA TRUQUE 1
AL0307,BCU: FALHA CRÍTICA NO EQUIPAMENTO DE FREIO TRUQUE 2
AL0306,BCU: FALHA CRÍTICA NO EQUIPAMENTO DE FREIO TRUQUE 1
AL0336,BCU: DEMANDA FREIO MVB FORA DE FAIXA
AL1534,AUXÍLIO CONVERSORES ATIVO
AL1110,AUSÊNCIA DE CA OU FALHA DE AA NO CARRO
AL0501,APS: TENSÃO ENTRADA FORA DOS LIMITES
AL0510,APS: FALHA LEVE SOBRETEMPERATURA
AL0503,APS: FALHA LEVE NO INVERSOR
AL0508,APS: FALHA LEVE NO CARREGADOR BATERIA
AL0504,APS: FALHA GRAVE NO INVERSOR
AL0402,APS: AVISAR MANUTENÇÃO
AL0502,APS: AC FORA DOS LIMITES
AL0199,APS EM MODO RESGATE
AL1521,ALGUM DISJUNTOR DO PANTO DESARMADO
